id,idade,altura,peso,imc,sexo,escolaridade,profissao,fumante.f,fumante.n,salario,carros,filhos
57,47,1.66,61.59,22.35,M,Analfabeto,Humanas,não,0,26478.17,2,0
58,30,1.42,51.91,25.74,M,PósDoc,Exatas,sim,1,2266.47,3,1
59,46,1.66,61.42,22.29,F,1º Grau,Exatas,não,0,26059.1,1,1
60,27,1.38,50.37,26.45,M,3º Grau,Biológicas,sim,1,1578.09,1,2
61,40,1.57,57.63,23.38,F,2º Grau,Humanas,sim,1,16565.88,2,0
62,53,1.75,65.2,21.29,F,Doutorado,Humanas,não,0,35489.91,0,0
63,35,1.5,54.86,24.38,F,Doutorado,Exatas,não,0,9652.4,1,1
64,30,1.43,52.32,25.59,M,1º Grau,Exatas,não,0,3303.66,0,1
65,35,1.5,54.97,24.43,M,1º Grau,Exatas,não,0,9923.95,3,1
66,47,1.68,62.11,22.01,F,1º Grau,Biológicas,sim,1,27770.84,1,2
67,27,1.39,50.45,26.11,M,PósDoc,Biológicas,não,0,1386.08,1,2
68,45,1.64,60.47,22.48,M,Mestrado,Humanas,não,0,23678.27,2,0
69,44,1.63,60.32,22.7,M,PósDoc,Exatas,não,0,23295.65,1,1
70,37,1.53,56.35,24.07,F,Doutorado,Humanas,não,0,13364.73,2,0
71,35,1.5,55.03,24.46,F,Doutorado,Exatas,não,0,10068.93,2,1
72,32,1.45,53.18,25.29,F,Mestrado,Humanas,sim,1,5445.31,2,0
73,32,1.46,53.53,25.11,F,Mestrado,Exatas,não,0,6334.76,2,1
74,40,1.56,57.59,23.66,M,Mestrado,Biológicas,sim,1,16482.87,3,2
75,49,1.71,63.28,21.64,M,PósDoc,Exatas,não,0,30702.71,3,1
76,34,1.48,54.39,24.83,M,Doutorado,Biológicas,não,0,8466.02,1,2
77,25,1.36,49.44,26.73,M,Mestrado,Exatas,não,0,3907.01,0,1
78,30,1.43,52.11,25.48,M,3º Grau,Biológicas,não,0,2764.18,2,2
79,37,1.53,56.03,23.94,M,3º Grau,Biológicas,não,0,12582.62,0,2
80,33,1.47,53.73,24.86,M,PósDoc,Humanas,sim,1,6829.41,3,0
81,34,1.48,54.29,24.79,F,2º Grau,Humanas,sim,1,8222.1,2,0
82,34,1.48,54.32,24.8,M,PósDoc,Humanas,não,0,8300.06,2,0
83,25,1.36,49.51,26.77,M,Doutorado,Biológicas,não,0,3723.02,2,2
84,34,1.48,54.3,24.79,F,2º Grau,Humanas,não,0,8262.13,0,0
85,41,1.59,58.4,23.1,F,3º Grau,Biológicas,não,0,18502.32,1,2
86,40,1.57,57.79,23.45,M,2º Grau,Exatas,sim,1,16976.09,0,1
87,39,1.55,57.2,23.81,F,1º Grau,Biológicas,não,0,15499.97,2,2
88,32,1.46,53.39,25.05,F,Doutorado,Biológicas,não,0,5972.68,3,2
89,34,1.48,54.23,24.76,F,3º Grau,Exatas,não,0,8084.06,3,1
90,27,1.38,50.22,26.37,F,2º Grau,Biológicas,sim,1,1945.28,0,2
91,35,1.49,54.79,24.68,M,Analfabeto,Humanas,não,0,9468.41,2,0
92,37,1.53,56.02,23.93,M,Mestrado,Humanas,sim,1,12551.96,1,0
93,47,1.67,61.82,22.17,M,Mestrado,Humanas,não,0,27059.64,1,0
94,42,1.6,59.01,23.05,M,2º Grau,Humanas,não,0,20015.13,1,0
95,32,1.45,53.02,25.22,M,Doutorado,Exatas,não,0,5044.17,2,1
96,37,1.54,56.42,23.79,F,2º Grau,Biológicas,não,0,13555.5,0,2
97,27,1.39,50.46,26.12,M,PósDoc,Exatas,não,0,1346.08,2,1
98,41,1.59,58.51,23.14,F,Doutorado,Biológicas,não,0,18782.04,3,2
99,42,1.6,58.89,23,F,2º Grau,Biológicas,não,0,19729.17,2,2
100,50,1.71,63.48,21.71,F,Analfabeto,Exatas,sim,1,31211.17,1,1
101,38,1.54,56.66,23.89,F,3º Grau,Humanas,não,0,14145.24,3,0
102,32,1.45,53.1,25.26,M,3º Grau,Biológicas,não,0,5252.82,3,2
103,35,1.51,55.26,24.24,F,Analfabeto,Exatas,não,0,10659.93,0,1
104,31,1.45,52.99,25.2,F,2º Grau,Humanas,não,0,4975.22,3,0
105,29,1.42,51.7,25.64,M,Analfabeto,Humanas,não,0,1740.01,0,0
106,36,1.52,55.67,24.1,F,1º Grau,Exatas,não,0,11669.89,1,1
107,29,1.41,51.41,25.86,M,Mestrado,Humanas,não,0,1037.35,2,0
108,36,1.52,55.67,24.1,M,1º Grau,Biológicas,não,0,11681.85,3,2
109,37,1.54,56.42,23.79,F,Mestrado,Exatas,não,0,13549.68,2,1
110,35,1.49,54.79,24.68,F,Doutorado,Humanas,não,0,9478.95,0,0
111,34,1.48,54.22,24.75,F,Doutorado,Biológicas,sim,1,8040.65,0,2
112,30,1.44,52.4,25.27,M,2º Grau,Humanas,não,0,3509.3,1,0
113,27,1.39,50.56,26.17,M,Doutorado,Exatas,sim,1,1097.67,3,1
114,41,1.58,58.4,23.39,M,PósDoc,Humanas,não,0,18492.74,0,0
115,35,1.5,55.09,24.48,F,Doutorado,Biológicas,não,0,10223.63,1,2
116,41,1.58,58.32,23.36,M,1º Grau,Exatas,sim,1,18311.41,0,1
117,26,1.38,50.02,26.27,M,Mestrado,Exatas,sim,1,2442.88,0,1
118,36,1.52,55.68,24.1,F,Doutorado,Humanas,não,0,11690.26,0,0
119,40,1.57,57.69,23.4,M,Mestrado,Exatas,não,0,16731.66,1,1
120,35,1.5,54.89,24.4,F,Doutorado,Humanas,sim,1,9737.24,2,0
121,34,1.48,54.23,24.76,M,Analfabeto,Humanas,sim,1,8086.08,3,0
122,30,1.42,51.87,25.72,F,3º Grau,Biológicas,sim,1,2180.93,0,2
123,49,1.71,63.23,21.62,F,2º Grau,Exatas,sim,1,30581.62,1,1
124,40,1.58,58,23.23,F,2º Grau,Humanas,sim,1,17505.01,0,0
125,48,1.68,62.3,22.07,F,1º Grau,Exatas,não,0,28242.08,3,1
126,36,1.51,55.32,24.26,F,3º Grau,Humanas,não,0,10800.6,3,0
127,31,1.44,52.47,25.3,M,1º Grau,Exatas,não,0,3685.91,3,1
128,24,1.35,48.95,26.86,F,3º Grau,Humanas,não,0,5132.88,3,0
129,31,1.44,52.46,25.3,M,Analfabeto,Biológicas,não,0,3639,0,2
130,37,1.52,55.91,24.2,F,PósDoc,Exatas,não,0,12263.02,3,1
131,42,1.6,59.05,23.07,M,Doutorado,Humanas,sim,1,20136.9,0,0
132,37,1.53,56.01,23.93,M,Doutorado,Humanas,não,0,12527.5,1,0
133,27,1.38,50.31,26.42,F,Doutorado,Exatas,não,0,1719.48,0,1
134,40,1.57,57.67,23.4,M,Mestrado,Humanas,não,0,16687.14,3,0
135,23,1.33,48.4,27.36,M,Mestrado,Humanas,sim,1,6501.01,2,0
136,32,1.46,53.54,25.12,F,Mestrado,Exatas,não,0,6341.48,0,1
137,33,1.47,53.74,24.87,M,PósDoc,Biológicas,sim,1,6838.82,1,2
138,21,1.31,47.21,27.51,F,PósDoc,Biológicas,não,0,9482.46,0,2
139,41,1.59,58.68,23.21,F,1º Grau,Exatas,não,0,19200.58,2,1
140,31,1.44,52.51,25.32,M,2º Grau,Humanas,sim,1,3771.28,1,0
141,33,1.47,53.66,24.83,M,Analfabeto,Humanas,não,0,6659.63,0,0
142,45,1.64,60.58,22.52,M,2º Grau,Biológicas,sim,1,23951.48,2,2
143,39,1.56,57.55,23.65,M,PósDoc,Exatas,não,0,16366.74,1,1
144,34,1.49,54.57,24.58,F,Analfabeto,Exatas,não,0,8915.68,0,1
145,39,1.55,57.06,23.75,F,PósDoc,Exatas,não,0,15137.63,2,1
146,38,1.54,56.6,23.87,F,2º Grau,Biológicas,não,0,13992.72,2,2
147,47,1.67,61.65,22.11,M,PósDoc,Humanas,sim,1,26628.56,2,0
148,37,1.53,56.1,23.97,M,2º Grau,Humanas,não,0,12758.93,1,0
149,39,1.55,57.03,23.74,M,3º Grau,Biológicas,sim,1,15062.73,2,2
150,37,1.53,56.39,24.09,F,3º Grau,Exatas,não,0,13475.52,3,1
151,32,1.46,53.49,25.09,M,2º Grau,Biológicas,não,0,6227.62,2,2
152,36,1.51,55.39,24.29,M,3º Grau,Humanas,não,0,10976.19,2,0
153,46,1.66,61.55,22.34,M,Mestrado,Exatas,não,0,26387.45,1,1
154,29,1.41,51.5,25.9,M,2º Grau,Biológicas,sim,1,1244.08,1,2
155,36,1.51,55.49,24.34,M,PósDoc,Biológicas,não,0,11217.6,0,2
156,45,1.64,60.45,22.48,F,PósDoc,Humanas,sim,1,23621.31,1,0
157,33,1.48,54.06,24.68,M,1º Grau,Exatas,não,0,7653.79,3,1
158,28,1.39,50.79,26.29,F,2º Grau,Exatas,sim,1,533.83,0,1
159,29,1.41,51.52,25.91,F,3º Grau,Biológicas,não,0,1302.16,0,2
160,32,1.46,53.44,25.07,M,PósDoc,Biológicas,não,0,6098.73,2,2
161,29,1.42,51.61,25.6,M,Mestrado,Humanas,não,0,1526.5,2,0
162,33,1.47,53.96,24.97,F,2º Grau,Humanas,não,0,7393.61,1,0
163,32,1.46,53.34,25.02,M,3º Grau,Biológicas,não,0,5855.8,0,2
164,34,1.48,54.27,24.78,F,Mestrado,Biológicas,não,0,8169.49,1,2
165,38,1.54,56.63,23.88,F,3º Grau,Humanas,não,0,14070.56,3,0
166,39,1.56,57.5,23.63,F,2º Grau,Exatas,não,0,16246.33,2,1
167,47,1.67,61.71,22.13,F,3º Grau,Biológicas,não,0,26782.06,0,2
168,35,1.49,54.73,24.65,M,2º Grau,Humanas,não,0,9313.06,1,0
169,33,1.47,53.72,24.86,F,Mestrado,Humanas,sim,1,6791.6,3,0
170,45,1.65,60.88,22.36,F,Analfabeto,Humanas,não,0,24710.06,1,0
171,47,1.67,61.82,22.17,M,Analfabeto,Exatas,sim,1,27043.29,1,1
172,35,1.5,55.17,24.52,M,3º Grau,Humanas,não,0,10432.44,1,0
173,33,1.47,53.67,24.84,M,3º Grau,Exatas,sim,1,6673.43,1,1
174,22,1.32,47.71,27.38,F,Doutorado,Biológicas,não,0,8222.35,0,2
175,45,1.64,60.65,22.55,M,Analfabeto,Exatas,não,0,24112.62,1,1
176,29,1.42,51.65,25.61,F,Doutorado,Biológicas,sim,1,1624.18,1,2
177,27,1.39,50.5,26.14,F,Mestrado,Exatas,não,0,1237.63,0,1
178,56,1.8,67.18,20.73,M,PósDoc,Humanas,não,0,40437.66,2,0
179,37,1.52,55.94,24.21,M,2º Grau,Humanas,não,0,12350.21,1,0
180,35,1.5,54.87,24.39,M,Doutorado,Exatas,não,0,9667.41,2,1
181,16,1.23,44.07,29.13,F,2º Grau,Humanas,não,0,17322.2,1,0
182,34,1.49,54.6,24.59,M,2º Grau,Exatas,não,0,9002.09,3,1
183,42,1.6,58.9,23.01,F,Mestrado,Biológicas,não,0,19760.32,3,2
184,38,1.54,56.66,23.89,M,PósDoc,Exatas,não,0,14138.69,2,1
185,41,1.59,58.65,23.2,M,Doutorado,Biológicas,sim,1,19123.22,0,2
186,49,1.7,62.93,21.78,M,2º Grau,Humanas,não,0,29837.32,2,0
187,43,1.62,59.68,22.74,M,2º Grau,Exatas,sim,1,21691.09,3,1
188,31,1.45,52.97,25.19,M,3º Grau,Biológicas,não,0,4912.63,2,2
189,40,1.57,57.82,23.46,F,2º Grau,Biológicas,não,0,17041.8,3,2
190,34,1.48,54.21,24.75,F,1º Grau,Humanas,sim,1,8015.84,0,0
191,31,1.45,52.85,25.14,M,Mestrado,Biológicas,não,0,4619.29,1,2
192,15,1.21,43.58,29.77,F,3º Grau,Humanas,sim,1,18557.59,2,0
193,29,1.42,51.84,25.71,M,3º Grau,Humanas,não,0,2103.53,2,0
194,38,1.55,56.95,23.7,F,Doutorado,Exatas,sim,1,14878.15,2,1
195,50,1.72,63.67,21.52,F,3º Grau,Exatas,sim,1,31680.33,2,1
196,39,1.55,57,23.73,F,Analfabeto,Biológicas,sim,1,15006.95,1,2
197,39,1.56,57.48,23.62,M,2º Grau,Biológicas,sim,1,16202.1,2,2
198,28,1.4,51.14,26.09,F,1º Grau,Humanas,sim,1,340.97,1,0
199,36,1.52,55.65,24.09,M,Doutorado,Biológicas,sim,1,11626.55,1,2
200,20,1.29,46.69,28.06,F,Analfabeto,Exatas,não,0,10782.38,1,1
201,38,1.55,56.94,23.7,M,2º Grau,Exatas,sim,1,14852.27,3,1
202,40,1.57,57.79,23.45,F,1º Grau,Exatas,não,0,16967.69,1,1
203,36,1.52,55.74,24.13,F,3º Grau,Humanas,não,0,11855.14,2,0
204,40,1.57,57.8,23.45,M,1º Grau,Humanas,sim,1,17007.34,3,0
205,37,1.53,56.25,24.03,F,1º Grau,Biológicas,não,0,13116.81,0,2
206,40,1.58,58.04,23.25,M,Analfabeto,Biológicas,sim,1,17604.62,3,2
207,48,1.68,62.37,22.1,M,Doutorado,Biológicas,não,0,28424.64,2,2
208,43,1.61,59.45,22.94,M,Doutorado,Humanas,não,0,21123.63,3,0
209,35,1.5,55.13,24.5,F,Analfabeto,Humanas,não,0,10326.64,2,0
210,27,1.39,50.54,26.16,F,1º Grau,Humanas,sim,1,1144.49,2,0
211,38,1.54,56.67,23.9,F,Doutorado,Humanas,não,0,14180.58,3,0
212,32,1.46,53.4,25.05,M,Analfabeto,Biológicas,não,0,5997.65,3,2
213,45,1.65,60.97,22.39,M,Analfabeto,Exatas,não,0,24934.93,3,1
214,24,1.34,48.57,27.05,M,1º Grau,Exatas,sim,1,6070.81,0,1
215,32,1.46,53.34,25.02,F,2º Grau,Exatas,não,0,5842.48,0,1
216,38,1.54,56.69,23.9,F,2º Grau,Biológicas,sim,1,14220.08,1,2
217,34,1.48,54.39,24.83,F,2º Grau,Exatas,não,0,8482.63,1,1
218,31,1.44,52.58,25.36,M,PósDoc,Exatas,sim,1,3938.49,1,1
219,33,1.47,53.78,24.89,M,3º Grau,Exatas,não,0,6952.79,2,1
220,39,1.56,57.52,23.64,F,3º Grau,Biológicas,sim,1,16295.36,0,2
221,41,1.59,58.58,23.17,M,PósDoc,Humanas,não,0,18951.72,3,0
222,40,1.57,57.64,23.38,M,3º Grau,Humanas,não,0,16602.13,2,0
223,51,1.73,64.09,21.41,M,3º Grau,Humanas,não,0,32734.84,0,0
224,43,1.62,59.69,22.74,F,1º Grau,Humanas,não,0,21734.98,0,0
225,37,1.53,56.15,23.99,M,3º Grau,Exatas,não,0,12877.1,1,1
226,30,1.43,52.36,25.61,F,PósDoc,Humanas,não,0,3402.3,1,0
227,55,1.79,66.68,20.81,F,Mestrado,Biológicas,sim,1,39191.4,3,2
228,40,1.57,57.71,23.41,F,3º Grau,Exatas,não,0,16774.16,3,1
229,30,1.43,52.26,25.56,F,Analfabeto,Biológicas,não,0,3156.8,1,2
230,36,1.52,55.75,24.13,F,PósDoc,Biológicas,não,0,11864.92,3,2
231,33,1.47,53.7,24.85,M,3º Grau,Humanas,sim,1,6756.07,0,0
232,33,1.47,53.9,24.94,M,Analfabeto,Biológicas,não,0,7252.96,0,2
233,28,1.41,51.27,25.79,M,2º Grau,Exatas,não,0,664.97,2,1
234,36,1.51,55.47,24.33,F,2º Grau,Humanas,sim,1,11168.45,1,0
235,37,1.53,56.28,24.04,F,Doutorado,Biológicas,não,0,13191.6,0,2
236,27,1.39,50.69,26.24,M,2º Grau,Biológicas,não,0,775.42,0,2
237,12,1.18,42.07,30.21,M,Doutorado,Exatas,sim,1,22331.52,0,1
238,33,1.47,53.98,24.98,M,Mestrado,Humanas,não,0,7451.25,0,0
239,35,1.5,55.12,24.5,F,PósDoc,Humanas,não,0,10295.18,3,0
240,39,1.56,57.38,23.58,M,3º Grau,Biológicas,sim,1,15942.74,0,2
241,35,1.51,55.24,24.23,M,PósDoc,Biológicas,não,0,10591.35,0,2
242,38,1.54,56.65,23.89,M,2º Grau,Biológicas,não,0,14133.99,1,2
243,27,1.39,50.61,26.19,F,Doutorado,Humanas,não,0,977.72,1,0
244,40,1.57,57.84,23.47,M,PósDoc,Humanas,sim,1,17111.75,1,0
245,40,1.57,57.88,23.48,M,2º Grau,Humanas,sim,1,17188.89,0,0
246,37,1.53,56.01,23.93,F,PósDoc,Humanas,não,0,12516.51,1,0
247,45,1.64,60.43,22.47,F,3º Grau,Exatas,sim,1,23572.74,1,1
248,38,1.54,56.62,23.87,F,3º Grau,Humanas,não,0,14044.68,2,0
249,37,1.53,56.06,23.95,M,PósDoc,Exatas,sim,1,12643.64,3,1
250,37,1.53,56.07,23.95,F,PósDoc,Humanas,sim,1,12680.44,3,0
251,38,1.54,56.75,23.93,F,Doutorado,Biológicas,não,0,14369.31,1,2
252,42,1.61,59.24,22.85,M,2º Grau,Biológicas,não,0,20601.24,3,2
253,38,1.55,56.81,23.65,M,Mestrado,Biológicas,não,0,14521.9,1,2
254,40,1.57,57.65,23.39,F,Mestrado,Humanas,não,0,16631.99,2,0
255,27,1.39,50.45,26.11,F,Mestrado,Humanas,não,0,1363.74,0,0
256,32,1.46,53.52,25.11,F,Doutorado,Biológicas,não,0,6295.02,3,2
257,45,1.65,60.91,22.37,F,Analfabeto,Biológicas,não,0,24769.7,2,2
258,26,1.38,50.1,26.31,F,3º Grau,Humanas,não,0,2239.04,2,0
259,37,1.53,56.03,23.94,M,2º Grau,Exatas,não,0,12580.68,3,1
260,38,1.54,56.62,23.87,M,Analfabeto,Humanas,não,0,14050.03,3,0
261,42,1.6,58.9,23.01,M,Analfabeto,Exatas,sim,1,19758.03,0,1
262,33,1.47,53.6,24.8,F,2º Grau,Exatas,não,0,6511.23,3,1
263,36,1.52,55.63,24.08,M,Analfabeto,Biológicas,não,0,11586.25,2,2
264,23,1.32,47.95,27.52,F,Mestrado,Biológicas,não,0,7632.55,1,2
265,37,1.53,56.35,24.07,M,PósDoc,Humanas,não,0,13385.96,2,0
266,30,1.43,52.33,25.59,M,Doutorado,Exatas,não,0,3334.35,2,1
267,33,1.48,54.05,24.68,F,1º Grau,Humanas,sim,1,7613.53,3,0
268,27,1.38,50.25,26.39,F,2º Grau,Humanas,não,0,1877.65,1,0
269,38,1.54,56.54,23.84,F,2º Grau,Exatas,não,0,13849.35,0,1
270,40,1.57,57.67,23.4,M,Analfabeto,Humanas,sim,1,16665.8,2,0
271,33,1.47,53.78,24.89,F,1º Grau,Humanas,não,0,6953.86,2,0
272,48,1.68,62.3,22.07,M,Mestrado,Exatas,sim,1,28250.11,1,1
273,40,1.57,57.68,23.4,F,2º Grau,Exatas,não,0,16705.59,2,1
274,42,1.59,58.79,23.25,F,1º Grau,Humanas,sim,1,19486.33,0,0
275,49,1.7,63.2,21.87,M,Doutorado,Exatas,não,0,30494.03,0,1
276,30,1.43,52.4,25.62,M,Mestrado,Exatas,não,0,3488.86,0,1
277,41,1.58,58.23,23.33,M,Analfabeto,Humanas,sim,1,18086.19,0,0
278,42,1.6,58.95,23.03,F,2º Grau,Exatas,não,0,19865.81,2,1
279,35,1.5,54.98,24.44,F,3º Grau,Exatas,não,0,9938.29,1,1
280,37,1.53,56.28,24.04,F,2º Grau,Exatas,não,0,13190.52,0,1
281,28,1.4,50.95,25.99,M,Mestrado,Exatas,não,0,118.22,2,1
282,38,1.55,56.88,23.68,M,Mestrado,Exatas,não,0,14701.68,1,1
283,30,1.43,52.2,25.53,M,2º Grau,Exatas,sim,1,2990.3,0,1
284,41,1.58,58.25,23.33,M,Mestrado,Biológicas,sim,1,18136.83,1,2
285,29,1.42,51.75,25.66,F,Doutorado,Exatas,sim,1,1885.69,3,1
286,37,1.53,56.28,24.04,M,Analfabeto,Exatas,não,0,13193.97,2,1
287,29,1.42,51.61,25.6,M,Doutorado,Exatas,não,0,1534.77,0,1
288,33,1.48,54.02,24.66,M,2º Grau,Humanas,não,0,7542.37,2,0
289,24,1.34,48.79,27.17,M,1º Grau,Humanas,sim,1,5528.59,3,0
290,36,1.51,55.51,24.35,F,PósDoc,Exatas,sim,1,11284.34,2,1
291,42,1.6,58.94,23.02,M,Analfabeto,Humanas,não,0,19854.43,0,0
292,36,1.52,55.73,24.12,F,2º Grau,Exatas,não,0,11832.48,0,1
293,23,1.32,47.94,27.51,M,Analfabeto,Biológicas,sim,1,7662.29,1,2
294,31,1.44,52.52,25.33,F,Doutorado,Exatas,não,0,3794.66,2,1
295,47,1.67,61.62,22.09,M,Analfabeto,Exatas,não,0,26560.43,3,1
296,48,1.68,62.24,22.05,F,1º Grau,Exatas,sim,1,28098.05,0,1
297,27,1.38,50.3,26.41,F,1º Grau,Exatas,sim,1,1750.37,2,1
298,32,1.46,53.53,25.11,F,3º Grau,Humanas,não,0,6332.97,3,0
299,37,1.54,56.41,23.79,M,3º Grau,Exatas,não,0,13536.25,0,1
300,37,1.53,56.28,24.04,M,Mestrado,Exatas,não,0,13191.56,3,1
301,31,1.44,52.68,25.41,M,Analfabeto,Exatas,não,0,4200.43,3,1
302,28,1.4,51.19,26.12,M,PósDoc,Exatas,sim,1,467.21,1,1
303,34,1.48,54.28,24.78,F,PósDoc,Biológicas,não,0,8205.71,2,2
304,42,1.6,59.04,23.06,F,Analfabeto,Biológicas,não,0,20098.08,0,2
305,35,1.5,55.09,24.48,M,Doutorado,Humanas,sim,1,10236.27,2,0
306,30,1.44,52.4,25.27,M,Doutorado,Exatas,não,0,3509.72,1,1
307,31,1.45,52.98,25.2,M,Doutorado,Exatas,não,0,4956.26,1,1
308,46,1.66,61.46,22.3,F,PósDoc,Exatas,sim,1,26143.91,0,1
309,32,1.46,53.21,24.96,M,Doutorado,Humanas,não,0,5530.4,3,0
310,40,1.58,58.05,23.25,F,2º Grau,Biológicas,sim,1,17631.77,1,2
311,45,1.65,60.89,22.37,M,PósDoc,Biológicas,sim,1,24717.19,2,2
312,38,1.54,56.77,23.94,M,Mestrado,Exatas,sim,1,14436.65,0,1
313,32,1.46,53.31,25.01,F,3º Grau,Humanas,não,0,5782.78,2,0
314,35,1.5,54.84,24.37,M,3º Grau,Biológicas,não,0,9599.98,3,2
315,32,1.45,53.03,25.22,F,PósDoc,Humanas,não,0,5077.2,0,0
316,44,1.62,59.91,22.83,M,Analfabeto,Exatas,não,0,22277.17,3,1
317,34,1.49,54.4,24.5,M,2º Grau,Biológicas,não,0,8504.46,2,2
318,46,1.65,61.2,22.48,M,Mestrado,Humanas,não,0,25499.83,1,0
319,31,1.44,52.75,25.44,F,Mestrado,Exatas,não,0,4383.87,1,1
320,30,1.44,52.41,25.27,F,PósDoc,Biológicas,sim,1,3528.83,3,2
321,36,1.51,55.57,24.37,M,Analfabeto,Exatas,não,0,11431.32,3,1
322,35,1.5,55.1,24.49,F,3º Grau,Humanas,sim,1,10241.89,2,0
323,31,1.45,52.98,25.2,M,Doutorado,Biológicas,não,0,4955.48,0,2
324,24,1.34,48.67,27.11,M,Mestrado,Exatas,não,0,5813.97,3,1
325,35,1.5,55.12,24.5,M,3º Grau,Biológicas,não,0,10300.66,3,2
326,30,1.43,52.13,25.49,M,2º Grau,Biológicas,não,0,2834.23,0,2
